Team,NOC
Bulgaria,BUL
Italy,ITA
Spain,ESP
Chad,CHA
Azerbaijan,AZE
Sudan,SUD
Russia,RUS
Russia,RUS
Argentina,ARG
Argentina,ARG
Spain,ESP
Cuba,CUB
Cuba,CUB
Cuba,CUB
Belarus,BLR
Belarus,BLR
France,FRA
France,FRA
France,FRA
Argentina,ARG
Greece,GRE
Cameroon,CMR
Cameroon,CMR
Turkey,TUR
Chile,CHI
Spain,ESP
Greece,GRE
Mexico,MEX
Chile,CHI
United States,USA
Spain,ESP
Spain,ESP
Soviet Union,URS
Soviet Union,URS
Chile,CHI
Russia,RUS
Russia,RUS
Italy,ITA
Italy,ITA
France,FRA
France,FRA
Chile,CHI
Greece,GRE
Nicaragua,NCA
Nicaragua,NCA
Mexico,MEX
Mexico,MEX
Mexico,MEX
Hungary,HUN
Hungary,HUN
Hungary,HUN
Nigeria,NGR
Egypt,EGY
Egypt,EGY
Italy,ITA
Chad,CHA
Algeria,ALG
Algeria,ALG
Italy,ITA
Italy,ITA
Italy,ITA
Italy,ITA
Italy,ITA
Italy,ITA
Italy,ITA
Italy,ITA
Italy,ITA
Italy,ITA
Italy,ITA
Kuwait,KUW
Kuwait,KUW
Kuwait,KUW
Bahrain,BRN
Pakistan,PAK
Iraq,IRQ
Iraq,IRQ
Kuwait,KUW
Pakistan,PAK
United Arab Republic,UAR
Egypt,EGY
Lebanon,LIB
Lebanon,LIB
Egypt,EGY
Egypt,EGY
Iraq,IRQ
Pakistan,PAK
Qatar,QAT
Pakistan,PAK
Pakistan,PAK
Pakistan,PAK
Egypt,EGY
Malaysia,MAS
Iran,IRI
Pakistan,PAK
Pakistan,PAK
Pakistan,PAK
Iran,IRI
Azerbaijan,AZE
Azerbaijan,AZE
Azerbaijan,AZE
Italy,ITA
Germany,GER
Italy,ITA
Netherlands,NED
Italy,ITA
Italy,ITA
Italy,ITA
Iraq,IRQ
Thessalonki-1,GRE
Ireland,IRL
Ireland,IRL
United States,USA
Australia,AUS
South Africa,RSA
United States,USA
United States,USA
United States,USA
Canada,CAN
United States,USA
United States,USA
United States,USA
United States,USA
Morocco,MAR
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Eritrea,ERI
Egypt,EGY
Egypt,EGY
Egypt,EGY
United Arab Republic,UAR
United Arab Republic,UAR
United Arab Republic,UAR
United Arab Republic,UAR
United Arab Republic,UAR
United Arab Republic,UAR
United Arab Republic,UAR
United Arab Republic,UAR
Egypt,EGY
United States,USA
Tanzania,TAN
Tanzania,TAN
France,FRA
Kuwait,KUW
Jordan,JOR
Egypt,EGY
Egypt,EGY
Egypt,EGY
Sudan,SUD
United Arab Republic,UAR
Egypt,EGY
United Arab Republic,UAR
Egypt,EGY
Sudan,SUD
Sudan,SUD
Sudan,SUD
Sudan,SUD
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
United Arab Republic,UAR
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
United Arab Republic,UAR
Egypt,EGY
Egypt,EGY
Sudan,SUD
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
United Arab Republic,UAR
United Arab Republic,UAR
Egypt,EGY
United Arab Republic,UAR
Tunisia,TUN
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Libya,LBA
Egypt,EGY
United Arab Republic,UAR
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
United Arab Republic,UAR
Egypt,EGY
United Arab Republic,UAR
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
United Arab Republic,UAR
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Sudan,SUD
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Sudan,SUD
Egypt,EGY
Egypt,EGY
Egypt,EGY
France,FRA
Egypt,EGY
Egypt,EGY
Algeria,ALG
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Algeria,ALG
Algeria,ALG
Algeria,ALG
Algeria,ALG
Algeria,ALG
Iran,IRI
Iran,IRI
Belgium,BEL
Belgium,BEL
Australia,AUS
Australia,AUS
Qatar,QAT
Qatar,QAT
Djibouti,DJI
Djibouti,DJI
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
United States,USA
United States,USA
United States,USA
United States,USA
Australia,AUS
Australia,AUS
Australia,AUS
Palestine,PLE
Canada,CAN
Canada,CAN
Canada,CAN
Sudan,SUD
Iran,IRI
Cameroon,CMR
Comoros,COM
Canada,CAN
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Chad,CHA
Cameroon,CMR
Egypt,EGY
Egypt,EGY
Kazakhstan,KAZ
Brunei,BRU
Iraq,IRQ
Kuwait,KUW
Malaysia,MAS
Malaysia,MAS
Egypt,EGY
Egypt,EGY
Egypt,EGY
Malaysia,MAS
Brunei,BRU
Brunei,BRU
Sudan,SUD
India,IND
India,IND
Iraq,IRQ
Iraq,IRQ
Saudi Arabia,KSA
Syria,SYR
Iraq,IRQ
Kuwait,KUW
Kuwait,KUW
Iraq,IRQ
Qatar,QAT
Maldives,MDV
Bahrain,BRN
Saudi Arabia,KSA
Iran,IRI
Jordan,JOR
Bahrain,BRN
Ethiopia,ETH
Malaysia,MAS
Pakistan,PAK
Pakistan,PAK
Iraq,IRQ
Iraq,IRQ
Iraq,IRQ
Iraq,IRQ
Iraq,IRQ
Pakistan,PAK
Iraq,IRQ
Egypt,EGY
Egypt,EGY
Saudi Arabia,KSA
United Arab Emirates,UAE
North Yemen,YAR
Kuwait,KUW
Kuwait,KUW
Pakistan,PAK
Indonesia,INA
Iraq,IRQ
Iraq,IRQ
Nigeria,NGR
Nigeria,NGR
Nigeria,NGR
Nigeria,NGR
Canada,CAN
Egypt,EGY
Soviet Union,URS
Philippines,PHI
Philippines,PHI
Philippines,PHI
Philippines,PHI
Philippines,PHI
Iraq,IRQ
Egypt,EGY
Egypt,EGY
Qatar,QAT
Egypt,EGY
United States,USA
Iraq,IRQ
Egypt,EGY
United Arab Emirates,UAE
United Arab Emirates,UAE
United Arab Emirates,UAE
United Arab Emirates,UAE
United Arab Emirates,UAE
United Arab Emirates,UAE
United Arab Emirates,UAE
Iraq,IRQ
Kuwait,KUW
Egypt,EGY
Malaysia,MAS
Malaysia,MAS
Malaysia,MAS
Malaysia,MAS
Singapore,SGP
Singapore,SGP
Sudan,SUD
Sudan,SUD
Nigeria,NGR
Azerbaijan,AZE
Azerbaijan,AZE
Azerbaijan,AZE
Uzbekistan,UZB
Uzbekistan,UZB
Uzbekistan,UZB
Uzbekistan,UZB
Azerbaijan,AZE
Azerbaijan,AZE
Azerbaijan,AZE
Azerbaijan,AZE
Azerbaijan,AZE
Kuwait,KUW
Egypt,EGY
Egypt,EGY
United Arab Emirates,UAE
United Arab Emirates,UAE
Egypt,EGY
Egypt,EGY
Egypt,EGY
Kuwait,KUW
Kuwait,KUW
Kuwait,KUW
Iraq,IRQ
Egypt,EGY
Egypt,EGY
United States,USA
Uzbekistan,UZB
Kyrgyzstan,KGZ
Kyrgyzstan,KGZ
Uzbekistan,UZB
Tajikistan,TJK
Russia,RUS
Tajikistan,TJK
Tajikistan,TJK
Tajikistan,TJK
Libya,LBA
Unified Team,EUN
Uzbekistan,UZB
Soviet Union,URS
Uzbekistan,UZB
Kyrgyzstan,KGZ
Japan,JPN
Japan-1,JPN
Japan-1,JPN
Japan-1,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Congo (Brazzaville),CGO
Ethiopia,ETH
Ethiopia,ETH
Ethiopia,ETH
Ethiopia,ETH
Algeria,ALG
Egypt,EGY
Iran,IRI
Iran,IRI
Cameroon,CMR
Switzerland,SUI
Switzerland,SUI
Brazil,BRA
Brazil,BRA
Spain,ESP
Brazil,BRA
Germany,GER
Germany,GER
United States,USA
United States,USA
Canada,CAN
West Germany,FRG
West Germany,FRG
East Germany,GDR
East Germany,GDR
East Germany,GDR
East Germany,GDR
East Germany,GDR
East Germany,GDR
Canada,CAN
Canada,CAN
Canada,CAN
Canada,CAN
Canada,CAN
Germany,GER
Germany,GER
Germany,GER
Germany,GER
Germany,GER
Spain,ESP
Spain,ESP
Monaco,MON
Monaco,MON
Monaco,MON
Monaco,MON
Monaco,MON
Monaco,MON
Cuba,CUB
Spain,ESP
Germany,GER
Germany,GER
Israel,ISR
Israel,ISR
Israel,ISR
Israel,ISR
Israel,ISR
Vesper Boat Club,USA
Vesper Boat Club,USA
Mexico,MEX
Uruguay,URU
Argentina,ARG
Argentina,ARG
Argentina,ARG
Spain,ESP
Spain,ESP
Cameroon,CMR
Ethiopia,ETH
Ethiopia,ETH
Argentina,ARG
Argentina,ARG
Argentina,ARG
Sweden,SWE
Sweden,SWE
Sweden,SWE
Sweden,SWE
Sweden,SWE
Finland,FIN
Sweden,SWE
Sweden,SWE
Morocco,MAR
United States Virgin Islands,ISV
United States Virgin Islands,ISV
United States Virgin Islands,ISV
United States Virgin Islands,ISV
United States Virgin Islands,ISV
United States,USA
South Africa,RSA
South Africa,RSA
Algeria,ALG
Switzerland,SUI
Italy,ITA
Turkey,TUR
Turkey,TUR
Turkey,TUR
Turkey,TUR
Sri Lanka,SRI
Sri Lanka,SRI
Sri Lanka,SRI
Armenia,ARM
Cote dIvoire,CIV
Cote dIvoire,CIV
Cote dIvoire,CIV
Cote dIvoire,CIV
Spain,ESP
Spain,ESP
Spain,ESP
France,FRA
East Germany,GDR
Tunisia,TUN
Iraq,IRQ
Nigeria,NGR
Nigeria,NGR
Kazakhstan,KAZ
Japan,JPN
Japan,JPN
Kenya,KEN
Bulgaria,BUL
Bulgaria,BUL
France,FRA
France,FRA
Nigeria,NGR
Nigeria,NGR
Benin,BEN
Benin,BEN
France-1,FRA
Russia,RUS
Azerbaijan,AZE
Brazil,BRA
Ukraine,UKR
Ukraine,UKR
Ukraine,UKR
Great Britain,GBR
Great Britain,GBR
United States,USA
Russia,RUS
Russia,RUS
Russia,RUS
Russia,RUS
Russia,RUS
Russia,RUS
Russia,RUS
Russia,RUS
Russia,RUS
Russia,RUS
Netherlands,NED
Cameroon,CMR
Ghana,GHA
Nigeria,NGR
Soviet Union,URS
Soviet Union,URS
Soviet Union,URS
Soviet Union,URS
Somalia,SOM
Somalia,SOM
Latvia,LAT
Latvia,LAT
Latvia,LAT
Latvia,LAT
Maldives,MDV
Australia,AUS
Australia,AUS
Spain,ESP
Spain,ESP
Spain,ESP
Cameroon,CMR
Cameroon,CMR
Egypt,EGY
Lebanon,LIB
Lebanon,LIB
Lebanon,LIB
Lebanon,LIB
Lebanon,LIB
Lebanon,LIB
Lebanon,LIB
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Syria,SYR
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
United Arab Republic,UAR
Egypt,EGY
Iraq,IRQ
Morocco,MAR
Niger,NIG
Qatar,QAT
Qatar,QAT
Iraq,IRQ
Libya,LBA
Algeria,ALG
Iraq,IRQ
Algeria,ALG
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Lebanon,LIB
Lebanon,LIB
Mali,MLI
Egypt,EGY
Afghanistan,AFG
Nigeria,NGR
United States,USA
Germany,GER
Romania,ROU
Romania,ROU
Romania,ROU
Romania,ROU
Romania,ROU
Romania,ROU
Romania,ROU
Romania,ROU
Hungary,HUN
Hungary,HUN
Hungary,HUN
Germany,GER
Great Britain,GBR
Great Britain,GBR
Great Britain,GBR
Great Britain,GBR
Great Britain,GBR
Chile,CHI
Switzerland,SUI
India,IND
India,IND
India,IND
India,IND
India,IND
India,IND
Poland,POL
Sweden,SWE
Sweden,SWE
Sweden,SWE
France,FRA
South Africa,RSA
Costa Rica,CRC
Costa Rica,CRC
Panama,PAN
Panama,PAN
Great Britain,GBR
Great Britain,GBR
Great Britain,GBR
Great Britain,GBR
Great Britain,GBR
Great Britain,GBR
Great Britain,GBR
Great Britain,GBR
Great Britain,GBR
Great Britain,GBR
Norway,NOR
Norway,NOR
Norway,NOR
Norway,NOR
United States,USA
United States,USA
United States,USA
Sweden,SWE
Sweden,SWE
Sweden,SWE
Sweden,SWE
Sweden,SWE
Sweden,SWE
Sweden,SWE
Sweden,SWE
Sweden,SWE
United States,USA
Georgia,GEO
Georgia,GEO
Georgia,GEO
Georgia,GEO
Georgia,GEO
Georgia,GEO
Belarus,BLR
Ukraine,UKR
Ukraine,UKR
Ukraine,UKR
Belarus,BLR
Belarus,BLR
Belarus,BLR
Belarus,BLR
Belarus,BLR
Belarus,BLR
Belarus,BLR
Belarus,BLR
Belarus,BLR
Morocco,MAR
Georgia,GEO
Slovenia,SLO
Georgia,GEO
Georgia,GEO
Soviet Union,URS
Russia,RUS
Russia,RUS
Soviet Union,URS
Russia,RUS
Russia,RUS
Soviet Union,URS
Soviet Union,URS
Soviet Union,URS
Soviet Union,URS
Russia,RUS
Russia,RUS
Russia,RUS
Russia,RUS
Croatia,CRO
Croatia,CRO
Russia-2,RUS
Russia-1,RUS
Guyana,GUY
Guyana,GUY
New Zealand,NZL
New Zealand,NZL
Georgia,GEO
Portugal,POR
Portugal,POR
Portugal,POR
Portugal,POR
Portugal,POR
Portugal,POR
Portugal,POR
France,FRA
Bulgaria,BUL
Switzerland,SUI
Germany,GER
Germany,GER
Poland,POL
Poland,POL
Poland,POL
Poland,POL
Poland,POL
Poland,POL
Portugal,POR
Cuba,CUB
Brazil,BRA
Portugal,POR
Portugal,POR
Portugal,POR
Portugal,POR
Portugal,POR
Portugal,POR
Portugal,POR
Paraguay,PAR
Paraguay,PAR
Paraguay,PAR
Angola,ANG
Brazil,BRA
Cuba,CUB
Venezuela,VEN
Portugal,POR
Portugal,POR
Portugal,POR
Portugal,POR
Portugal,POR
France,FRA
Colombia,COL
Colombia,COL
Colombia,COL
Spain,ESP
Sweden,SWE
Sweden,SWE
Djibouti,DJI
Russia,RUS
Russia,RUS
Russia,RUS
Romania,ROU
Romania,ROU
Romania,ROU
Romania,ROU
Romania,ROU
Romania,ROU
Romania,ROU
Soviet Union,URS
France,FRA
France,FRA
France,FRA
France,FRA
Ethiopia,ETH
United States,USA
Germany,GER
West Germany,FRG
West Germany,FRG
Russia,RUS
Iran,IRI
Bangladesh,BAN
Iraq,IRQ
Saudi Arabia,KSA
Saudi Arabia,KSA
Jordan,JOR
Jordan,JOR
Malaysia,MAS
Malaysia,MAS
Palestine,PLE
Palestine,PLE
Egypt,EGY
Jordan,JOR
Jordan,JOR
Kazakhstan,KAZ
Sudan,SUD
Sudan,SUD
Palestine,PLE
China,CHN
Kenya,KEN
Nigeria,NGR
Nigeria,NGR
Peru,PER
Peru,PER
Peru,PER
Libya,LBA
Jordan,JOR
Somalia,SOM
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Palestine,PLE
Jordan,JOR
Saudi Arabia,KSA
Mexico,MEX
Kuwait,KUW
Kuwait,KUW
Japan,JPN
Mexico,MEX
Soviet Union,URS
Soviet Union,URS
Soviet Union,URS
Soviet Union,URS
Soviet Union,URS
Kazakhstan,KAZ
Kazakhstan,KAZ
Qatar,QAT
Jordan,JOR
Russia,RUS
Russia,RUS
Turkey,TUR
Turkey,TUR
Turkey,TUR
Turkey,TUR
Turkey,TUR
France,FRA
France,FRA
Romania,ROU
Romania,ROU
Romania,ROU
Romania,ROU
France,FRA
France,FRA
France,FRA
Spain,ESP
Italy,ITA
Italy,ITA
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Switzerland,SUI
Italy,ITA
Chile,CHI
Chile,CHI
Cuba,CUB
Cuba,CUB
Spain,ESP
Spain,ESP
Chile,CHI
United States,USA
Italy,ITA
Uruguay,URU
Uruguay,URU
El Salvador,ESA
Puerto Rico,PUR
Colombia,COL
Colombia,COL
Colombia,COL
Peru,PER
Peru,PER
Canada,CAN
Canada,CAN
Venezuela,VEN
Colombia,COL
Colombia,COL
Mexico,MEX
Mexico,MEX
Great Britain,GBR
Great Britain,GBR
Iran,IRI
Belgium,BEL
Morocco,MAR
Mexico,MEX
Philippines,PHI
Spain,ESP
India,IND
India,IND
India,IND
Great Britain,GBR
France-2,FRA
Germany,GER
Ghana,GHA
Ghana,GHA
Ghana,GHA
Switzerland,SUI
Lebanon,LIB
Lebanon,LIB
Uganda,UGA
Morocco,MAR
Morocco,MAR
Morocco,MAR
Morocco,MAR
Great Britain,GBR
Great Britain,GBR
France,FRA
France,FRA
Netherlands,NED
Netherlands,NED
Romania,ROU
Romania,ROU
Soviet Union,URS
Soviet Union,URS
Soviet Union,URS
Uganda,UGA
Uganda,UGA
Uganda,UGA
Canada,CAN
Canada,CAN
Egypt,EGY
Egypt,EGY
Algeria,ALG
Tunisia,TUN
Tunisia,TUN
Tunisia,TUN
Syria,SYR
Belgium,BEL
Belgium,BEL
Belgium,BEL
Belgium,BEL
Netherlands,NED
Netherlands,NED
Cameroon,CMR
Cameroon,CMR
Australia,AUS
Cote dIvoire,CIV
Uganda,UGA
Uganda,UGA
Brazil,BRA
Belgium,BEL
Sweden,SWE
New Zealand,NZL
United States,USA
Great Britain,GBR
Germany,GER
Germany,GER
Germany,GER
Germany,GER
Germany,GER
Germany,GER
Germany,GER
Germany,GER
Germany,GER
Netherlands,NED
Belgium,BEL
Belgium,BEL
Switzerland-2,SUI
Switzerland-1,SUI
Switzerland-1,SUI
Switzerland-1,SUI
Switzerland-1,SUI
Switzerland-2,SUI
Switzerland-1,SUI
Switzerland-2,SUI
Slovenia,SLO
Mexico,MEX
Mexico,MEX
Cuba,CUB
Cuba,CUB
Honduras,HON
Mexico,MEX
Argentina,ARG
Argentina,ARG
Argentina,ARG
Argentina,ARG
Argentina,ARG
Argentina,ARG
Chile,CHI
Chile,CHI
Argentina,ARG
Ecuador,ECU
Mexico,MEX
Mexico,MEX
Mexico,MEX
Mexico,MEX
El Salvador,ESA
El Salvador,ESA
El Salvador,ESA
Venezuela,VEN
Argentina,ARG
Argentina,ARG
Cuba,CUB
Venezuela,VEN
Venezuela,VEN
Argentina,ARG
Uruguay,URU
Uruguay,URU
Ghana,GHA
Ghana,GHA
Italy,ITA
Ghana,GHA
Ghana,GHA
Ghana,GHA
Ghana,GHA
Hungary,HUN
Hungary,HUN
Denmark,DEN
Denmark,DEN
Denmark,DEN
Denmark,DEN
Australia,AUS
Canada,CAN
Canada,CAN
Canada,CAN
Canada,CAN
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
Venezuela,VEN
Venezuela,VEN
Uruguay,URU
Mexico,MEX
Mexico,MEX
Argentina,ARG
Turkmenistan,TKM
Hungary,HUN
Poland,POL
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
Japan,JPN
New Zealand,NZL
New Zealand,NZL
Brazil,BRA
France,FRA
France,FRA
Sudan,SUD
Romania,ROU
Mauritius,MRI
United States,USA
Mexico,MEX
Cameroon,CMR
Seychelles,SEY
Seychelles,SEY
Seychelles,SEY
Czechoslovakia,TCH
Czechoslovakia,TCH
Czechoslovakia,TCH
Germany,GER
Germany,GER
Germany,GER
Germany,GER
Seychelles,SEY
Germany,GER
Great Britain,GBR
Great Britain,GBR
Great Britain,GBR
Great Britain-1,GBR
East Germany,GDR
East Germany,GDR
Canada,CAN
Egypt,EGY
Egypt,EGY
Egypt,EGY
Egypt,EGY
Luxembourg,LUX
Luxembourg,LUX
Germany,GER
France,FRA
France,FRA
Hungary,HUN
Kenya,KEN
Kenya,KEN
Kenya,KEN
Kenya,KEN
Kenya,KEN
Germany,GER
Sudan,SUD
Mauritania,MTN
Mauritania,MTN
Poland,POL
Poland,POL
Poland,POL
Poland,POL
Poland,POL
Poland,POL
Czechoslovakia,TCH
Czechoslovakia,TCH
Czechoslovakia,TCH
Czechoslovakia,TCH
Czechoslovakia,TCH
Mexico,MEX
Mexico,MEX
Italy,ITA
Czechoslovakia,TCH
Czechoslovakia,TCH
Czechoslovakia,TCH
Czech Republic,CZE
Czech Republic,CZE
Czech Republic,CZE
Czech Republic,CZE
Czech Republic,CZE
Czech Republic,CZE
Greece,GRE
Greece,GRE
Poland,POL
Poland,POL
Poland,POL
Poland,POL
Poland,POL
Germany,GER
Hungary,HUN
Hungary,HUN
Iran,IRI
Niger,NIG
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
Bulgaria,BUL
United States,USA
Poland,POL
Great Britain,GBR
Great Britain,GBR
Saint Kitts and Nevis,SKN
Saint Kitts and Nevis,SKN
Saint Kitts and Nevis,SKN
Saint Kitts and Nevis,SKN
Saint Kitts and Nevis,SKN
Saint Kitts and Nevis,SKN
Australia,AUS
United States,USA
United States,USA
United States,USA
Canada,CAN
Great Britain,GBR
Great Britain,GBR
United States,USA
United States,USA
South Africa,RSA
United States,USA
United States,USA
United States,USA
New York Athletic Club #2-4,USA
United States,USA
Great Britain,GBR
Trinidad and Tobago,TTO
Trinidad and Tobago,TTO
Great Britain,GBR
Australia,AUS
Australia,AUS
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
Dominican Republic,DOM
United States,USA
United States,USA
Canada,CAN
Saint Vincent and the Grenadines,VIN
Australia,AUS
Australia,AUS
Australia,AUS
Australia,AUS
Australia,AUS
Canada,CAN
Canada,CAN
Russia,RUS
Germany,GER
Australia,AUS
Great Britain,GBR
Great Britain,GBR
Great Britain,GBR
Puerto Rico,PUR
Great Britain,GBR
Great Britain,GBR
Cuba,CUB
Australia,AUS
Australia,AUS
Australia,AUS
Australia,AUS
Australia,AUS
Australia,AUS
Australia,AUS
Australia,AUS
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
United States,USA
Canada,CAN
Canada,CAN
Canada,CAN
Canada,CAN
Great Britain,GBR
West Germany,FRG
West Germany,FRG
United States,USA
Great Britain,GBR
United States,USA
Sweden,SWE
New Zealand,NZL
New Zealand,NZL
New Zealand,NZL
New Zealand,NZL
Norway,NOR
Poland,POL
Germany,GER
Germany,GER
Germany,GER
Poland,POL
Poland,POL
Sweden,SWE
Sweden,SWE
Jamaica,JAM
Jamaica,JAM
Sweden,SWE
Sweden,SWE
Sweden,SWE
Ghana,GHA
Nigeria,NGR
Poland,POL
Spain,ESP
Philippines,PHI
Somalia,SOM
Somalia,SOM
Turkey,TUR
Spain,ESP
Spain,ESP
Turkey,TUR
Turkey,TUR
Great Britain,GBR
Great Britain,GBR
Australia,AUS
Great Britain,GBR
Great Britain,GBR
Algeria,ALG
Egypt,EGY
Egypt,EGY
Algeria,ALG
Algeria,ALG
Belgium,BEL
Belgium,BEL
Belgium,BEL
Belgium,BEL
Belgium,BEL
France,FRA
France,FRA
France,FRA
South Africa,RSA
Great Britain,GBR
Ghana,GHA
Ghana,GHA
Ghana,GHA
Ghana,GHA
Ghana,GHA
Switzerland,SUI
Great Britain,GBR
Ghana,GHA
Ghana,GHA
